Value,Disaggregation combinations using this value,Number of indicators
East Midlands,812,1
East of England,974,1
Inner London,1217,1
London,2756,1
North East,1055,1
North West,1946,1
Outer London,1622,1
South East,1622,1
South West,1460,1
West Midlands,1217,1
Yorkshire and The Humber,1298,1
