Value,Disaggregation combinations using this value,Number of indicators
Any other Asian background,3,1
Any other Black background,3,1
Any other Mixed background,3,1
Any other White background,3,1
Bangladeshi,3,1
Black African,3,1
Black Caribbean,3,1
Gypsy/Roma,3,1
Indian,3,1
Irish,3,1
Pakistani,3,1
Traveller of Irish heritage,3,1
White and Asian,3,1
White and Black African,3,1
White and Black Caribbean,3,1
White British,3,1
